Admin1,Crop,Area,Rank,Label
Iringa,groundnut _vop,131620703.955101,2,Iringa-5-2
Iringa,cereals _vop,68552915.6904716,3,Iringa-4-3
Iringa,pulses _vop,55821556.8118286,4,Iringa-6-4
Iringa,bean _vop,40784089.9931183,5,Iringa-2-5
Iringa,rice _vop,11977852.9269981,6,Iringa-7-6
Iringa,wheat _vop,1863254.19796562,7,Iringa-10-7
Iringa,cassava _vop,1690741.7807312,8,Iringa-3-8
Iringa,sorghum _vop,1155663.09929276,9,Iringa-8-9
Iringa,banana_and_plantain _vop,27936.8004760742,10,Iringa-1-10
Geita,total _vop,307859210.168945,1,Geita-9-1
Geita,cereals _vop,94496954.5519333,2,Geita-4-2
Geita,cassava _vop,64991760.2846108,3,Geita-3-3
Geita,pulses _vop,58379010.9284058,4,Geita-6-4
Geita,rice _vop,52095341.7540588,5,Geita-7-5
Geita,bean _vop,50095161.1234131,6,Geita-2-6
Geita,groundnut _vop,20108776.1641884,7,Geita-5-7
Geita,banana_and_plantain _vop,7002067.72187805,8,Geita-1-8
Geita,sorghum _vop,1121289.29677773,9,Geita-8-9
Geita,wheat _vop,0,,Geita-10-NA
Dodoma,total _vop,221765205.199097,1,Dodoma-9-1
Dodoma,cereals _vop,42223763.5430527,2,Dodoma-4-2
Dodoma,pulses _vop,39598868.7924347,3,Dodoma-6-3
Dodoma,sorghum _vop,14009399.6867199,4,Dodoma-8-4
Dodoma,groundnut _vop,13438363.2048798,5,Dodoma-5-5
Dodoma,cassava _vop,11314474.6017036,6,Dodoma-3-6
Dodoma,bean _vop,6925042.01756287,7,Dodoma-2-7
Dodoma,rice _vop,2990605.28653336,8,Dodoma-7-8
Dodoma,wheat _vop,14342.900390625,9,Dodoma-10-9
Dodoma,banana_and_plantain _vop,647.700012207031,10,Dodoma-1-10
Dar es Salaam,total _vop,67276987.609375,1,Dar es Salaam-9-1
Dar es Salaam,cassava _vop,2787417.96972656,2,Dar es Salaam-3-2
Dar es Salaam,banana_and_plantain _vop,2505958.81288147,3,Dar es Salaam-1-3
Dar es Salaam,cereals _vop,2295131.11425781,4,Dar es Salaam-4-4
Dar es Salaam,rice _vop,1880488.30273437,5,Dar es Salaam-7-5
Dar es Salaam,pulses _vop,57635.3999176025,6,Dar es Salaam-6-6
Dar es Salaam,sorghum _vop,51751.099609375,7,Dar es Salaam-8-7
Dar es Salaam,bean _vop,0,,Dar es Salaam-2-NA
Dar es Salaam,groundnut _vop,0,,Dar es Salaam-5-NA
Dar es Salaam,wheat _vop,0,,Dar es Salaam-10-NA
Arusha,total _vop,276427459.12204,1,Arusha-9-1
Arusha,cereals _vop,56847158.1821022,2,Arusha-4-2
Arusha,banana_and_plantain _vop,46592445.6812019,3,Arusha-1-3
Arusha,pulses _vop,37917032.2722397,4,Arusha-6-4
Arusha,rice _vop,26314710.149334,5,Arusha-7-5
Arusha,bean _vop,19731101.6069183,6,Arusha-2-6
Arusha,wheat _vop,2706126.8947382,7,Arusha-10-7
Arusha,sorghum _vop,1931168.70557976,8,Arusha-8-8
Arusha,cassava _vop,314235.299856186,9,Arusha-3-9
Arusha,groundnut _vop,17096.30078125,10,Arusha-5-10
