Admin2,Crop,Area,Admin1
Iramba,total _vop,42849872.4360352,Singida
Iramba,wheat _vop,0,Singida
Iringa Rural,banana_and_plantain _vop,2084.09997558594,Iringa
Iringa Rural,bean _vop,10018405.109375,Iringa
Iringa Rural,cassava _vop,302.899993896484,Iringa
Iringa Rural,cereals _vop,26245076.7906303,Iringa
Iringa Rural,groundnut _vop,57089002.1932602,Iringa
Iringa Rural,pulses _vop,12835448.1089478,Iringa
Iringa Rural,rice _vop,10467311.2383728,Iringa
Iringa Rural,sorghum _vop,856952.697780609,Iringa
Iringa Rural,total _vop,200546813.755859,Iringa
Iringa Rural,wheat _vop,127350.503206253,Iringa
Iringa Urban,banana_and_plantain _vop,0,Iringa
Iringa Urban,bean _vop,309589.103515625,Iringa
Iringa Urban,cassava _vop,0,Iringa
Iringa Urban,cereals _vop,1931105.46875,Iringa
Iringa Urban,groundnut _vop,487539.1875,Iringa
Iringa Urban,pulses _vop,1319944.75,Iringa
Iringa Urban,rice _vop,573833.78125,Iringa
Iringa Urban,sorghum _vop,20225.900390625,Iringa
Iringa Urban,total _vop,26252597.875,Iringa
Iringa Urban,wheat _vop,18571.6007843018,Iringa
Itilima,banana_and_plantain _vop,0,Simiyu
Itilima,bean _vop,2295096.80093384,Simiyu
Itilima,cassava _vop,1207164.11024857,Simiyu
Itilima,cereals _vop,14398579.0855408,Simiyu
Itilima,groundnut _vop,1257596.10073853,Simiyu
Itilima,pulses _vop,20047357.4000244,Simiyu
Itilima,rice _vop,7432781.78637695,Simiyu
Itilima,sorghum _vop,2073790.7972641,Simiyu
Itilima,total _vop,54691447.0971069,Simiyu
Itilima,wheat _vop,0,Simiyu
Kahama,banana_and_plantain _vop,28.2000007629395,Shinyanga
Kahama,bean _vop,16765079.7519531,Shinyanga
Kahama,cassava _vop,8443492.99804687,Shinyanga
Kahama,cereals _vop,38103425.2287598,Shinyanga
Kahama,groundnut _vop,14392075.3145142,Shinyanga
Kahama,pulses _vop,17542215.2404785,Shinyanga
Kahama,rice _vop,18105135.6168213,Shinyanga
Kahama,sorghum _vop,1060189.69518662,Shinyanga
Kahama,total _vop,99610598.53125,Shinyanga
Kahama,wheat _vop,0,Shinyanga
Kahama Town,banana_and_plantain _vop,0,Shinyanga
Kahama Town,bean _vop,3930843.10644531,Shinyanga
Kahama Town,cassava _vop,1752310.79052734,Shinyanga
Kahama Town,cereals _vop,14407483.625,Shinyanga
Kahama Town,groundnut _vop,2864961.70166016,Shinyanga
Kahama Town,pulses _vop,4063480.49853516,Shinyanga
Kahama Town,rice _vop,7549498.359375,Shinyanga
Kahama Town,sorghum _vop,267581.195899963,Shinyanga
Kahama Town,total _vop,30432719.9375,Shinyanga
Kahama Town,wheat _vop,0,Shinyanga
